xcord,ycord,zcord,carbon,year,plot,state,sizeclass,DBH,commonname,scientificname
319846.2334,4091972.986,2005.0799560546875,0.046807714,2004,un1,Live,1,16,White Fir,Abies concolor
319846.2934,4091966.626,2004.050048828125,0.51094268,2004,un1,Live,3,42,White Fir,Abies concolor
319846.2134,4091966.096,2003.8800048828125,0.081310767,2004,un1,Live,1,20,White Fir,Abies concolor
319841.9634,4091964.826,2003.6300048828125,0.09174986,2004,un1,Live,2,21,White Fir,Abies concolor
319841.0634,4091964.136,2003.4200439453125,0.17096106,2004,un1,Live,2,27,White Fir,Abies concolor
319853.1634,4091955.306,2001.300048828125,0.046807714,2004,un1,Live,1,16,White Fir,Abies concolor
319854.7334,4091955.606,2001.530029296875,0.014647586,2004,un1,Live,1,10,White Fir,Abies concolor
319852.0434,4091956.086,2001.489990234375,0.01853536,2004,un1,Live,1,11,White Fir,Abies concolor
319846.5334,4091960.666,2002.9000244140625,0.062645541,2004,un1,Live,1,18,White Fir,Abies concolor
319846.0334,4091960.666,2002.8800048828125,0.004157572,2004,un1,Live,1,6,White Fir,Abies concolor
319842.1934,4091961.796,2003.0699462890625,0.01853536,2004,un1,Live,1,11,White Fir,Abies concolor
319841.7934,4091960.776,2002.8900146484375,0.004157572,2004,un1,Live,1,6,White Fir,Abies concolor
319842.9434,4091961.276,2002.8599853515625,0.51094268,2004,un1,Live,3,42,White Fir,Abies concolor
319842.7934,4091960.776,2002.8599853515625,0.221948298,2004,un1,Live,2,30,White Fir,Abies concolor
319839.8134,4091957.316,2002.22998046875,0.004157572,2004,un1,Live,1,6,White Fir,Abies concolor
319840.9334,4091957.666,2002.3499755859375,0.004157572,2004,un1,Live,1,6,White Fir,Abies concolor
319841.0834,4091956.716,2002.219970703125,0.008445338,2004,un1,Live,1,8,White Fir,Abies concolor
319838.7134,4091956.696,2002.31005859375,0.348699111,2004,un1,Live,2,36,White Fir,Abies concolor
319834.5134,4091953.556,2001.9100341796875,0.008445338,2004,un1,Live,1,8,White Fir,Abies concolor
319834.9034,4091953.376,2001.699951171875,0.004157572,2004,un1,Live,1,6,White Fir,Abies concolor
319834.4234,4091952.506,2001.760009765625,3.288709882,2004,un1,Live,5,89,White Fir,Abies concolor
319846.2234,4091953.346,2001.010009765625,0.127703527,2004,un1,Live,2,24,White Fir,Abies concolor
319845.2534,4091950.636,2000.5,1.396128794,2004,un1,Live,4,63,White Fir,Abies concolor
319846.7234,4091952.866,2000.9100341796875,0.008445338,2004,un1,Live,1,8,White Fir,Abies concolor
319838.6234,4091953.556,2001.81005859375,0.008445338,2004,un1,Live,1,8,White Fir,Abies concolor
319839.3534,4091948.756,2000.43994140625,11.22573636,2004,un1,Live,6,146,White Fir,Abies concolor
319839.3834,4091964.406,2003.3599853515625,0.114929233,2004,un1,Live,2,23,White Fir,Abies concolor
319839.3634,4091967.006,2003.780029296875,0.221948298,2004,un1,Live,2,30,White Fir,Abies concolor
319838.8034,4091967.316,2003.780029296875,0.033641657,2004,un1,Live,1,14,White Fir,Abies concolor
319835.2934,4091965.966,2003.77001953125,0.155703523,2004,un1,Live,2,26,White Fir,Abies concolor
319832.4234,4091964.916,2003.7900390625,0.011293003,2004,un1,Live,1,9,White Fir,Abies concolor
319831.7034,4091960.446,2003.030029296875,0.09174986,2004,un1,Live,2,21,White Fir,Abies concolor
319831.2234,4091958.386,2002.81005859375,0.002655783,2004,un1,Live,1,5,White Fir,Abies concolor
319832.9634,4091969.586,2004.52001953125,0.014647586,2004,un1,Live,1,10,White Fir,Abies concolor
319839.0834,4091971.406,2004.550048828125,0.17096106,2004,un1,Live,2,27,White Fir,Abies concolor
319841.4634,4091967.746,2004.0400390625,0.039900826,2004,un1,Live,1,15,White Fir,Abies concolor
319847.4834,4091977.426,2006.02001953125,0.909516447,2004,un1,Live,3,53,White Fir,Abies concolor
319845.7434,4091978.886,2006.4100341796875,0.004157572,2004,un1,Live,1,6,White Fir,Abies concolor
319845.2434,4091978.966,2006.3499755859375,0.01853536,2004,un1,Live,1,11,White Fir,Abies concolor
319844.4334,4091986.126,2007.760009765625,13.65561796,2004,un1,Live,6,158,White Fir,Abies concolor
319842.2334,4091989.516,2008.52001953125,10.47822222,2004,un1,Live,6,142,White Fir,Abies concolor
319834.4434,4091981.996,2006.9100341796875,0.348699111,2004,un1,Live,2,36,White Fir,Abies concolor
319857.0234,4091990.426,2008.3399658203125,0.008445338,2004,un1,Live,1,8,White Fir,Abies concolor
319855.6734,4091993.246,2008.9100341796875,0.787179113,2004,un1,Live,3,50,White Fir,Abies concolor
319854.9634,4091992.886,2008.9100341796875,0.022981268,2004,un1,Live,1,12,White Fir,Abies concolor
319852.9534,4091994.916,2009.219970703125,0.09174986,2004,un1,Live,2,21,White Fir,Abies concolor
319852.4534,4091994.286,2009.02001953125,0.081310767,2004,un1,Live,1,20,White Fir,Abies concolor
319851.6234,4091996.346,2009.530029296875,0.022981268,2004,un1,Live,1,12,White Fir,Abies concolor
319851.5134,4091994.566,2009.25,0.033641657,2004,un1,Live,1,14,White Fir,Abies concolor
319850.0134,4091996.946,2009.8299560546875,0.008445338,2004,un1,Live,1,8,White Fir,Abies concolor
319852.4134,4091998.936,2010.300048828125,0.573390216,2004,un1,Live,3,44,White Fir,Abies concolor
319855.3634,4091997.466,2009.6800537109375,0.155703523,2004,un1,Live,2,26,White Fir,Abies concolor
319856.0034,4091997.346,2009.6300048828125,0.37319827,2004,un1,Live,2,37,White Fir,Abies concolor
319855.7734,4091999.436,2010,0.039900826,2004,un1,Live,1,15,White Fir,Abies concolor
