xcord,ycord,biomass,year
52,348,63.3348,2010
53,348,62.6361,2010
54,348,64.7349,2010
55,348,72.7324,2010
56,348,63.3281,2010
57,348,61.8858,2010
58,348,55.6326,2010
59,348,52.169,2010
2,347,108.411,2010
3,347,111.297,2010
4,347,90.2184,2010
5,347,106.242,2010
6,347,105.837,2010
7,347,112.742,2010
8,347,105.633,2010
9,347,94.2641,2010
10,347,94.2255,2010
11,347,93.31,2010
12,347,90.2417,2010
13,347,98.4928,2010
14,347,91.3638,2010
15,347,86.5327,2010
16,347,85.7666,2010
17,347,92.9956,2010
18,347,93.0639,2010
19,347,78.4298,2010
20,347,80.8022,2010
21,347,75.658,2010
22,347,74.591,2010
23,347,77.7671,2010
24,347,82.7653,2010
25,347,92.4402,2010
26,347,90.3201,2010
27,347,87.4907,2010
28,347,88.5734,2010
29,347,95.4375,2010
30,347,89.9148,2010
31,347,87.072,2010
32,347,90.1125,2010
33,347,85.5884,2010
34,347,86.7132,2010
35,347,83.9501,2010
36,347,69.7145,2010
37,347,68.4848,2010
38,347,70.8954,2010
39,347,78.8459,2010
40,347,73.3171,2010
41,347,67.4172,2010
42,347,77.1617,2010
43,347,76.5371,2010
44,347,86.5177,2010
45,347,87.2161,2010
46,347,77.1809,2010
47,347,69.7091,2010
48,347,67.674,2010
49,347,65.9035,2010
50,347,63.7271,2010
51,347,65.2749,2010
52,347,62.0608,2010
53,347,63.122,2010
54,347,64.1629,2010
55,347,62.6205,2010
56,347,60.8952,2010
57,347,61.0506,2010
58,347,59.6774,2010
59,347,58.3641,2010
2,346,108.912,2010
3,346,111.99,2010
4,346,90.8824,2010
5,346,102.584,2010
6,346,98.5376,2010
7,346,110.526,2010
8,346,116.936,2010
9,346,104.971,2010
10,346,104.01,2010
11,346,96.0168,2010
12,346,91.7281,2010
13,346,86.0231,2010
14,346,88.1292,2010
15,346,92.4448,2010
16,346,87.0246,2010
17,346,75.4602,2010
18,346,80.2535,2010
19,346,70.1006,2010
20,346,75.0317,2010
21,346,75.446,2010
22,346,90.2885,2010
23,346,90.1853,2010
24,346,88.8205,2010
25,346,90.2237,2010
26,346,86.9768,2010
27,346,83.5824,2010
28,346,85.9936,2010
29,346,87.8258,2010
30,346,89.4622,2010
31,346,89.7626,2010
32,346,86.0182,2010
33,346,85.2896,2010
34,346,82.8892,2010
35,346,74.7722,2010
36,346,63.9857,2010
37,346,63.0368,2010
38,346,68.6017,2010
39,346,73.8553,2010
40,346,69.5751,2010
41,346,74.2818,2010
42,346,73.2728,2010
43,346,71.6664,2010
44,346,80.5718,2010
45,346,82.6667,2010
46,346,83.0376,2010
47,346,68.9503,2010
48,346,69.9723,2010
49,346,71.4883,2010
50,346,69.3898,2010
51,346,63.5269,2010
52,346,64.5706,2010
53,346,64.8269,2010
54,346,61.8322,2010
55,346,62.6873,2010
56,346,64.3738,2010
57,346,58.5621,2010
58,346,56.5919,2010
59,346,56.4623,2010
60,346,52.169,2010
1,345,107.952,2010
2,345,106.882,2010
3,345,113.249,2010
4,345,93.8927,2010
5,345,106.542,2010
6,345,100.036,2010
7,345,104.65,2010
8,345,112.771,2010
9,345,110.141,2010
10,345,110.694,2010
11,345,113.256,2010
12,345,117.499,2010
13,345,100.115,2010
14,345,92.5792,2010
15,345,92.1189,2010
16,345,91.5757,2010
17,345,73.4378,2010
18,345,66.4481,2010
19,345,70.3356,2010
20,345,69.9415,2010
21,345,76.8597,2010
22,345,86.953,2010
23,345,85.2554,2010
24,345,77.0242,2010
25,345,75.2254,2010
26,345,84.024,2010
27,345,86.633,2010
28,345,86.3996,2010
29,345,82.092,2010
30,345,84.8337,2010
31,345,83.8591,2010
32,345,82.9344,2010
33,345,82.2713,2010
34,345,78.6335,2010
35,345,74.8883,2010
36,345,65.0857,2010
38,345,67.7995,2010
39,345,67.5074,2010
40,345,67.2113,2010
41,345,76.7954,2010
42,345,81.7429,2010
43,345,76.3086,2010
44,345,68.3391,2010
45,345,70.2549,2010
46,345,66.1136,2010
47,345,72.3555,2010
48,345,68.0549,2010
49,345,66.1858,2010
50,345,68.2838,2010
51,345,62.2775,2010
52,345,61.9885,2010
53,345,63.6312,2010
54,345,62.221,2010
55,345,62.9834,2010
56,345,58.3844,2010
57,345,57.132,2010
58,345,62.7303,2010
59,345,57.9284,2010
60,345,53.8068,2010
1,344,104.075,2010
2,344,114.181,2010
3,344,116.148,2010
4,344,99.0876,2010
5,344,113.035,2010
6,344,101.815,2010
7,344,113.963,2010
8,344,115.502,2010
9,344,119.046,2010
10,344,115.375,2010
11,344,116.767,2010
12,344,118.14,2010
13,344,116.261,2010
14,344,103.555,2010
15,344,112.201,2010
16,344,103.765,2010
17,344,81.7356,2010
18,344,85.7378,2010
19,344,72.7536,2010
20,344,72.9967,2010
21,344,69.7564,2010
22,344,71.6767,2010
23,344,77.5652,2010
24,344,76.5707,2010
25,344,71.3393,2010
26,344,78.5643,2010
27,344,80.9587,2010
28,344,79.9268,2010
29,344,82.8188,2010
30,344,76.8289,2010
31,344,77.0313,2010
32,344,71.9346,2010
33,344,79.1429,2010
34,344,85.7284,2010
35,344,84.8374,2010
36,344,80.7893,2010
37,344,76.4434,2010
38,344,73.5227,2010
39,344,71.906,2010
40,344,82.4229,2010
41,344,82.0089,2010
42,344,73.1924,2010
43,344,71.1965,2010
44,344,74.1995,2010
45,344,80.0074,2010
46,344,85.4056,2010
47,344,80.1892,2010
48,344,76.6522,2010
49,344,77.138,2010
50,344,66.0738,2010
51,344,63.4236,2010
52,344,62.1279,2010
53,344,60.3748,2010
54,344,61.1896,2010
55,344,60.7002,2010
56,344,57.5667,2010
57,344,57.944,2010
58,344,59.9535,2010
59,344,63.0429,2010
60,344,57.5286,2010
61,344,53.7267,2010
1,343,107.75,2010
2,343,116.279,2010
3,343,119.596,2010
4,343,119.055,2010
5,343,115.533,2010
6,343,97.2378,2010
7,343,109.303,2010
8,343,113.701,2010
9,343,108.567,2010
10,343,112.496,2010
11,343,114.622,2010
12,343,111.081,2010
13,343,123.462,2010
14,343,122.844,2010
15,343,113.387,2010
16,343,94.9407,2010
17,343,85.5749,2010
18,343,106.464,2010
19,343,100.312,2010
20,343,97.1011,2010
21,343,84.1096,2010
22,343,82.5858,2010
23,343,88.9878,2010
24,343,91.1797,2010
25,343,79.6347,2010
26,343,72.2342,2010
27,343,71.8096,2010
28,343,70.2194,2010
29,343,73.7144,2010
30,343,74.2784,2010
31,343,74.8745,2010
32,343,75.0245,2010
33,343,80.969,2010
34,343,79.7685,2010
35,343,87.6252,2010
36,343,86.3541,2010
37,343,84.5608,2010
38,343,80.8567,2010
39,343,77.6487,2010
40,343,84.0612,2010
41,343,80.3787,2010
42,343,71.227,2010
43,343,80.3114,2010
44,343,74.9893,2010
45,343,73.0617,2010
46,343,75.3663,2010
47,343,79.8182,2010
48,343,87.5924,2010
49,343,78.5668,2010
50,343,62.6914,2010
51,343,60.0498,2010
52,343,59.7989,2010
53,343,59.8497,2010
54,343,61.0945,2010
55,343,59.0876,2010
56,343,58.8013,2010
57,343,58.9351,2010
58,343,57.3877,2010
59,343,56.8622,2010
60,343,59.5529,2010
61,343,55.1333,2010
1,342,109.662,2010
2,342,111.136,2010
3,342,113.569,2010
4,342,115.96,2010
5,342,116.625,2010
6,342,99.725,2010
7,342,97.3648,2010
8,342,97.008,2010
9,342,97.6834,2010
10,342,101.469,2010
11,342,104.103,2010
12,342,105.769,2010
13,342,107.915,2010
14,342,115.206,2010
15,342,100.285,2010
16,342,83.395,2010
17,342,86.0311,2010
18,342,100.789,2010
19,342,95.7347,2010
20,342,91.0429,2010
21,342,98.9432,2010
22,342,94.8585,2010
23,342,100.937,2010
24,342,100.314,2010
25,342,88.9805,2010
26,342,81.004,2010
27,342,81.5727,2010
28,342,83.2259,2010
29,342,84.0517,2010
30,342,78.8411,2010
31,342,75.307,2010
32,342,71.8146,2010
33,342,81.7405,2010
34,342,81.0679,2010
35,342,88.7681,2010
36,342,89.5097,2010
37,342,81.6064,2010
38,342,82.1898,2010
39,342,74.6346,2010
40,342,75.9426,2010
41,342,82.2227,2010
42,342,73.3204,2010
43,342,79.3613,2010
44,342,71.9854,2010
45,342,69.2383,2010
46,342,68.7657,2010
47,342,77.8747,2010
48,342,78.1135,2010
49,342,64.6353,2010
50,342,62.5589,2010
51,342,62.905,2010
52,342,59.2006,2010
53,342,58.841,2010
54,342,58.2761,2010
55,342,59.1489,2010
56,342,58.0739,2010
57,342,57.6981,2010
58,342,60.1539,2010
59,342,56.4423,2010
60,342,55.4288,2010
61,342,55.5757,2010
62,342,55.7179,2010
63,342,54.8782,2010
1,341,109.557,2010
2,341,109.298,2010
3,341,109.561,2010
4,341,116.613,2010
5,341,113.439,2010
6,341,101.011,2010
7,341,98.0871,2010
8,341,95.1705,2010
9,341,98.7547,2010
10,341,99.2174,2010
11,341,103.21,2010
12,341,105.061,2010
13,341,104.374,2010
14,341,56.1452,2010
15,341,86.4174,2010
16,341,101.472,2010
17,341,101.608,2010
18,341,97.2195,2010
19,341,90.6414,2010
20,341,89.8524,2010
21,341,91.3034,2010
22,341,101.024,2010
23,341,104.329,2010
24,341,94.3345,2010
25,341,82.345,2010
26,341,88.1392,2010
27,341,85.457,2010
28,341,84.4189,2010
29,341,88.2313,2010
30,341,79.1917,2010
31,341,74.1301,2010
32,341,71.9626,2010
33,341,79.8316,2010
34,341,81.2916,2010
35,341,82.9736,2010
36,341,87.372,2010
37,341,83.6719,2010
38,341,84.4492,2010
39,341,84.0597,2010
40,341,78.6586,2010
41,341,73.6894,2010
42,341,73.0695,2010
43,341,67.3784,2010
44,341,67.246,2010
45,341,69.9519,2010
46,341,64.2428,2010
47,341,76.391,2010
48,341,68.4276,2010
49,341,61.5541,2010
50,341,58.5166,2010
51,341,61.0139,2010
52,341,59.9468,2010
53,341,61.657,2010
54,341,60.1956,2010
55,341,57.3781,2010
56,341,58.2265,2010
57,341,58.9719,2010
58,341,58.071,2010
59,341,57.1779,2010
60,341,55.4927,2010
61,341,55.6813,2010
62,341,55.5799,2010
63,341,56.3492,2010
64,341,59.058,2010
1,340,104.517,2010
2,340,110.97,2010
3,340,107.382,2010
4,340,112.616,2010
5,340,107.997,2010
6,340,102.591,2010
7,340,86.2354,2010
8,340,95.4795,2010
9,340,99.1505,2010
10,340,103.164,2010
11,340,102.954,2010
12,340,97.2308,2010
13,340,85.8032,2010
14,340,70.5659,2010
15,340,99.0708,2010
16,340,102.167,2010
17,340,108.678,2010
18,340,94.4525,2010
19,340,87.7244,2010
20,340,88.5215,2010
21,340,88.5943,2010
22,340,92.0553,2010
23,340,103.729,2010
24,340,94.1184,2010
25,340,84.6573,2010
26,340,83.044,2010
27,340,85.5831,2010
28,340,82.1029,2010
29,340,80.8699,2010
30,340,77.6821,2010
