xcord,ycord,biomass,year
31,349,90.2351,2010
32,349,91.1569,2010
33,349,84.4773,2010
34,349,76.7652,2010
35,349,69.4488,2010
36,349,67.5855,2010
37,349,67.5436,2010
38,349,77.2441,2010
39,349,78.2997,2010
40,349,83.0211,2010
41,349,76.8939,2010
42,349,74.2933,2010
43,349,80.9176,2010
44,349,81.2052,2010
45,349,83.7185,2010
46,349,66.6775,2010
47,349,63.675,2010
48,349,67.8767,2010
49,349,64.0905,2010
50,349,64.5087,2010
51,349,64.2291,2010
52,349,70.2528,2010
53,349,66.1626,2010
54,349,63.8775,2010
55,349,65.4113,2010
56,349,60.5529,2010
57,349,65.1396,2010
58,349,56.7687,2010
3,348,112.43,2010
4,348,97.7467,2010
5,348,97.7839,2010
6,348,105.217,2010
7,348,118.389,2010
8,348,99.9673,2010
9,348,98.114,2010
10,348,89.6693,2010
12,348,87.172,2010
13,348,97.9894,2010
14,348,86.4449,2010
15,348,83.289,2010
17,348,101.451,2010
18,348,91.9093,2010
19,348,82.3797,2010
20,348,85.8869,2010
21,348,82.8104,2010
22,348,78.018,2010
23,348,82.6559,2010
24,348,79.366,2010
25,348,79.4435,2010
26,348,81.6023,2010
27,348,81.0147,2010
28,348,86.3011,2010
29,348,94.559,2010
30,348,93.5938,2010
31,348,91.3178,2010
32,348,90.7461,2010
33,348,86.2614,2010
34,348,81.8164,2010
35,348,80.3346,2010
36,348,71.1802,2010
37,348,64.6724,2010
38,348,68.5635,2010
39,348,80.9558,2010
40,348,78.8995,2010
41,348,72.3981,2010
42,348,72.1108,2010
43,348,84.5205,2010
44,348,91.0283,2010
45,348,88.9575,2010
46,348,78.8505,2010
47,348,60.4782,2010
48,348,66.1834,2010
49,348,70.9468,2010
50,348,62.1381,2010
51,348,61.5911,2010
52,348,63.4428,2010
53,348,63.3387,2010
54,348,65.0188,2010
55,348,72.9276,2010
56,348,64.2373,2010
57,348,63.1999,2010
58,348,56.5533,2010
59,348,54.031,2010
2,347,108.277,2010
3,347,111.192,2010
4,347,88.9779,2010
5,347,106.612,2010
6,347,106.279,2010
7,347,113.806,2010
8,347,107.244,2010
9,347,96.7396,2010
10,347,95.8032,2010
11,347,94.5025,2010
12,347,89.8318,2010
13,347,100.158,2010
14,347,92.9079,2010
15,347,87.8657,2010
16,347,87.1636,2010
17,347,94.4939,2010
18,347,94.5172,2010
19,347,79.4025,2010
20,347,80.7741,2010
21,347,75.5053,2010
22,347,74.2927,2010
23,347,77.6336,2010
24,347,82.8303,2010
25,347,92.5754,2010
26,347,91.4201,2010
27,347,88.4401,2010
28,347,89.6795,2010
29,347,96.3968,2010
30,347,90.9954,2010
31,347,88.4281,2010
32,347,92.0175,2010
33,347,87.3288,2010
34,347,88.2121,2010
35,347,85.0689,2010
36,347,70.3597,2010
37,347,69.1237,2010
38,347,71.7313,2010
39,347,80.5138,2010
40,347,74.6434,2010
41,347,68.3558,2010
42,347,78.5144,2010
43,347,77.6287,2010
44,347,86.7112,2010
45,347,86.7894,2010
46,347,77.5531,2010
47,347,69.954,2010
48,347,68.3011,2010
49,347,66.175,2010
50,347,63.703,2010
51,347,65.7718,2010
52,347,62.0088,2010
53,347,64.1131,2010
54,347,63.9925,2010
55,347,62.7995,2010
56,347,62.0838,2010
57,347,62.4632,2010
58,347,61.0316,2010
59,347,58.9971,2010
2,346,108.368,2010
3,346,112.036,2010
4,346,89.9611,2010
5,346,102.674,2010
6,346,98.2515,2010
7,346,110.97,2010
8,346,117.873,2010
9,346,106.483,2010
10,346,105.624,2010
11,346,96.5277,2010
12,346,92.1468,2010
13,346,86.1155,2010
14,346,89.1808,2010
15,346,93.8983,2010
16,346,88.4743,2010
17,346,76.5631,2010
18,346,81.5824,2010
19,346,70.4891,2010
20,346,74.867,2010
21,346,75.2751,2010
22,346,90.5407,2010
23,346,90.3265,2010
24,346,88.9013,2010
25,346,90.5541,2010
26,346,87.8951,2010
27,346,84.6066,2010
28,346,86.9892,2010
29,346,88.7102,2010
30,346,90.6358,2010
31,346,91.0052,2010
32,346,87.2776,2010
33,346,86.571,2010
34,346,84.2702,2010
35,346,75.6095,2010
36,346,64.0099,2010
37,346,62.9493,2010
38,346,69.5603,2010
39,346,75.0682,2010
40,346,70.7562,2010
41,346,75.6884,2010
42,346,74.6902,2010
43,346,72.616,2010
44,346,80.4424,2010
45,346,81.607,2010
46,346,83.5935,2010
47,346,69.1421,2010
48,346,70.2041,2010
49,346,72.281,2010
50,346,69.5315,2010
51,346,63.6473,2010
52,346,64.6193,2010
53,346,65.4251,2010
54,346,62.7193,2010
55,346,63.5511,2010
56,346,65.6299,2010
57,346,59.3443,2010
58,346,58.0838,2010
59,346,57.2198,2010
60,346,54.031,2010
1,345,107.527,2010
2,345,106.136,2010
3,345,113.283,2010
4,345,92.8887,2010
5,345,106.372,2010
6,345,99.837,2010
7,345,105.306,2010
8,345,114.189,2010
9,345,111.393,2010
10,345,112.285,2010
11,345,114.975,2010
12,345,119.074,2010
13,345,99.9322,2010
14,345,92.0369,2010
15,345,92.0728,2010
16,345,92.838,2010
17,345,74.4517,2010
18,345,67.0788,2010
19,345,70.3636,2010
20,345,69.5904,2010
21,345,76.7245,2010
22,345,87.066,2010
23,345,85.2715,2010
24,345,77.0564,2010
25,345,75.5738,2010
26,345,84.9208,2010
27,345,87.6045,2010
28,345,87.4198,2010
29,345,82.9914,2010
30,345,85.8869,2010
31,345,84.933,2010
32,345,84.4054,2010
33,345,83.4179,2010
34,345,79.6609,2010
35,345,75.6841,2010
36,345,65.1624,2010
38,345,68.9112,2010
39,345,68.6059,2010
40,345,68.2531,2010
41,345,77.947,2010
42,345,83.0336,2010
43,345,77.6357,2010
44,345,69.2552,2010
45,345,71.0038,2010
46,345,66.5554,2010
47,345,72.6538,2010
48,345,68.5212,2010
49,345,66.7232,2010
50,345,69.3414,2010
51,345,63.6057,2010
52,345,62.8579,2010
53,345,64.6241,2010
54,345,63.4436,2010
55,345,64.2933,2010
56,345,59.3568,2010
57,345,58.3292,2010
58,345,64.3907,2010
59,345,58.5399,2010
60,345,55.0777,2010
1,344,102.974,2010
2,344,114.143,2010
3,344,116.243,2010
4,344,98.2664,2010
5,344,112.994,2010
6,344,101.918,2010
7,344,114.85,2010
8,344,116.548,2010
9,344,119.599,2010
10,344,116.192,2010
11,344,118.47,2010
12,344,119.135,2010
13,344,115.786,2010
14,344,103.327,2010
15,344,111.632,2010
16,344,103.233,2010
17,344,81.1384,2010
18,344,85.4045,2010
19,344,72.9535,2010
20,344,72.8704,2010
21,344,69.3919,2010
22,344,71.4344,2010
23,344,77.5425,2010
24,344,76.3549,2010
25,344,71.6771,2010
26,344,79.3816,2010
27,344,81.7077,2010
28,344,80.5287,2010
29,344,83.9547,2010
30,344,77.5393,2010
31,344,78.0091,2010
32,344,72.7677,2010
33,344,80.2086,2010
34,344,87.1656,2010
35,344,86.3239,2010
36,344,82.0737,2010
37,344,77.6168,2010
38,344,74.7357,2010
39,344,73.0778,2010
40,344,83.7707,2010
41,344,83.4203,2010
42,344,74.2775,2010
43,344,72.5184,2010
44,344,75.8593,2010
45,344,82.0132,2010
46,344,88.0038,2010
47,344,81.7851,2010
48,344,77.6899,2010
49,344,78.4947,2010
50,344,65.8794,2010
51,344,64.9079,2010
52,344,63.6259,2010
53,344,61.4493,2010
54,344,62.403,2010
55,344,61.8421,2010
56,344,58.5574,2010
57,344,59.2339,2010
58,344,61.4389,2010
59,344,64.302,2010
60,344,58.2287,2010
61,344,55.0102,2010
1,343,107.383,2010
2,343,116.573,2010
3,343,119.996,2010
4,343,119.292,2010
5,343,115.81,2010
6,343,97.0241,2010
7,343,109.767,2010
8,343,114.456,2010
9,343,109.248,2010
10,343,113.271,2010
11,343,115.87,2010
12,343,111.794,2010
13,343,123.034,2010
14,343,122.179,2010
15,343,113.225,2010
16,343,94.2283,2010
17,343,84.634,2010
18,343,106.606,2010
19,343,101.959,2010
20,343,98.6955,2010
21,343,85.0921,2010
22,343,83.0581,2010
23,343,89.4951,2010
24,343,91.3752,2010
25,343,80.4652,2010
26,343,72.7521,2010
27,343,72.0439,2010
28,343,70.2754,2010
29,343,74.0611,2010
30,343,74.6364,2010
31,343,75.701,2010
32,343,75.9395,2010
33,343,82.5244,2010
34,343,80.6207,2010
35,343,89.0626,2010
36,343,87.6043,2010
37,343,85.9939,2010
38,343,82.1303,2010
39,343,79.0247,2010
40,343,85.4616,2010
41,343,81.5733,2010
42,343,72.3714,2010
43,343,82.1503,2010
44,343,76.6451,2010
45,343,74.8205,2010
46,343,77.7352,2010
47,343,81.6478,2010
48,343,89.4934,2010
49,343,79.8044,2010
50,343,63.1515,2010
51,343,61.4161,2010
52,343,61.5966,2010
53,343,61.1597,2010
54,343,62.4911,2010
55,343,60.3766,2010
56,343,60.1136,2010
57,343,60.0151,2010
58,343,58.5879,2010
59,343,58.21,2010
60,343,60.262,2010
61,343,55.0353,2010
1,342,109.539,2010
2,342,111.187,2010
3,342,113.687,2010
4,342,116.279,2010
5,342,116.901,2010
6,342,99.839,2010
7,342,97.2745,2010
8,342,97.025,2010
9,342,98.3383,2010
10,342,102.39,2010
11,342,105.007,2010
12,342,105.92,2010
13,342,107.664,2010
14,342,114.984,2010
15,342,99.5869,2010
16,342,82.323,2010
17,342,84.981,2010
18,342,101.701,2010
19,342,96.8343,2010
20,342,91.1062,2010
21,342,100.493,2010
22,342,96.3016,2010
23,342,102.728,2010
24,342,101.454,2010
25,342,89.5769,2010
26,342,81.55,2010
27,342,82.4249,2010
28,342,84.1802,2010
29,342,85.1293,2010
30,342,80.1704,2010
31,342,76.5476,2010
32,342,72.5038,2010
33,342,83.0745,2010
34,342,82.091,2010
35,342,90.2296,2010
36,342,91.2687,2010
37,342,82.8228,2010
38,342,83.5899,2010
39,342,75.7289,2010
40,342,77.0969,2010
41,342,83.4045,2010
42,342,74.3865,2010
43,342,81.047,2010
44,342,73.7437,2010
45,342,70.4481,2010
46,342,70.1398,2010
47,342,79.6132,2010
48,342,79.5436,2010
49,342,65.0838,2010
50,342,62.7473,2010
51,342,64.2906,2010
52,342,61.3708,2010
53,342,60.9888,2010
54,342,60.0806,2010
55,342,60.3739,2010
56,342,58.8486,2010
57,342,58.6852,2010
58,342,61.5739,2010
59,342,57.6021,2010
60,342,56.8287,2010
61,342,54.219,2010
62,342,54.3364,2010
63,342,53.6847,2010
1,341,109.007,2010
2,341,109.159,2010
3,341,109.261,2010
4,341,116.837,2010
5,341,113.55,2010
6,341,101.16,2010
7,341,98.4392,2010
8,341,95.6999,2010
9,341,99.5928,2010
10,341,100.055,2010
11,341,103.827,2010
12,341,105.027,2010
13,341,104.534,2010
14,341,52.6649,2010
15,341,85.0619,2010
16,341,100.827,2010
17,341,101.014,2010
18,341,98.4153,2010
19,341,91.4195,2010
20,341,90.2205,2010
21,341,91.8108,2010
22,341,102.885,2010
23,341,106.633,2010
24,341,95.3697,2010
25,341,82.6727,2010
26,341,88.5994,2010
27,341,85.821,2010
28,341,84.8828,2010
29,341,89.1463,2010
30,341,79.873,2010
31,341,74.9031,2010
32,341,72.6448,2010
33,341,81.1126,2010
34,341,82.4216,2010
35,341,84.0427,2010
36,341,89.0163,2010
37,341,84.8519,2010
38,341,85.8898,2010
39,341,85.4313,2010
40,341,79.6396,2010
41,341,74.5111,2010
42,341,74.4401,2010
43,341,68.4269,2010
44,341,68.4877,2010
45,341,71.6239,2010
46,341,64.8639,2010
47,341,77.9314,2010
48,341,69.6666,2010
49,341,61.9004,2010
50,341,58.912,2010
51,341,62.6867,2010
52,341,61.9209,2010
53,341,62.6833,2010
54,341,61.1575,2010
55,341,57.8049,2010
56,341,59.1452,2010
57,341,60.0978,2010
58,341,59.0293,2010
59,341,58.4448,2010
60,341,55.8564,2010
61,341,53.905,2010
62,341,53.6539,2010
63,341,54.6866,2010
64,341,56.615,2010
1,340,103.999,2010
2,340,110.719,2010
3,340,106.895,2010
4,340,112.588,2010
5,340,107.773,2010
6,340,102.584,2010
7,340,85.5319,2010
8,340,95.9846,2010
9,340,99.9744,2010
10,340,103.841,2010
11,340,103.4,2010
12,340,96.4317,2010
13,340,84.602,2010
14,340,67.722,2010
15,340,98.6015,2010
16,340,101.796,2010
17,340,108.641,2010
18,340,95.9524,2010
19,340,87.3847,2010
20,340,88.9336,2010
21,340,88.2976,2010
22,340,93.1224,2010
23,340,106.066,2010
24,340,94.8283,2010
25,340,85.0743,2010
26,340,83.4348,2010
27,340,85.8886,2010
28,340,82.3906,2010
29,340,81.1719,2010
30,340,78.0321,2010
31,340,76.752,2010
32,340,73.7601,2010
33,340,73.0616,2010
34,340,76.5651,2010
35,340,78.1707,2010
36,340,79.534,2010
37,340,79.3488,2010
38,340,92.1924,2010
39,340,89.8969,2010
40,340,85.4408,2010
41,340,80.8761,2010
42,340,82.7656,2010
43,340,73.007,2010
44,340,83.4347,2010
45,340,86.0967,2010
46,340,74.8827,2010
47,340,80.1146,2010
48,340,76.0596,2010
49,340,65.3042,2010
50,340,62.9388,2010
51,340,62.2177,2010
52,340,64.4382,2010
53,340,62.9085,2010
54,340,59.639,2010
55,340,60.6028,2010
56,340,58.9996,2010
57,340,61.2119,2010
58,340,64.431,2010
59,340,61.17,2010
60,340,58.2293,2010
61,340,50.9049,2010
62,340,52.0407,2010
63,340,51.9972,2010
64,340,53.4984,2010
65,340,54.6904,2010
1,339,104.19,2010
2,339,103.616,2010
3,339,106.481,2010
4,339,107.123,2010
5,339,116.261,2010
6,339,88.1693,2010
7,339,91.487,2010
8,339,97.8249,2010
9,339,96.9937,2010
10,339,105.363,2010
11,339,91.3331,2010
12,339,79.0884,2010
13,339,101.601,2010
14,339,101.159,2010
15,339,100.434,2010
16,339,104.9,2010
17,339,99.6405,2010
18,339,99.9852,2010
19,339,93.083,2010
20,339,97.2515,2010
21,339,100.352,2010
22,339,93.8879,2010
23,339,99.219,2010
24,339,89.6304,2010
25,339,82.4212,2010
26,339,74.6459,2010
27,339,75.0582,2010
28,339,77.3521,2010
29,339,83.1841,2010
30,339,81.8668,2010
31,339,77.1042,2010
32,339,72.0272,2010
