xcord,ycord,zcord,carbon,year,plot,state,sizeclass,DBH,commonname,scientificname
320469.3175,4091973.448,1985.68994140625,0.019711006,2004,bn2,Dead,1,11.8,Sugar Pine,Pinus lambertiana
320462.9175,4091958.848,1986.449951171875,0.010094627,2004,bn2,Live,1,8.6,White Fir,Abies concolor
320467.0375,4091960.818,1985.6600341796875,0.31828302,2004,bn2,Live,2,30.2,California Black Oak,Quercus kelloggii
320464.9175,4091961.693,1986.22998046875,2.251931045,2004,bn2,Live,5,82.9,Jeffrey Pine,Pinus jeffreyi
320465.4775,4091962.263,1986.22998046875,0.944272746,2004,bn2,Live,3,58,Jeffrey Pine,Pinus jeffreyi
320465.5675,4091965.093,1986.1300048828125,2.525562296,2004,bn2,Live,5,86.9,Jeffrey Pine,Pinus jeffreyi
320397.2575,4091998.608,2013.010009765625,0.272107466,2004,bn2,Live,2,36.7,Incense Cedar,Calocedrus decurrens
320394.9275,4092003.868,2014.27001953125,0.019739372,2004,bn2,Live,1,9.6,California Black Oak,Quercus kelloggii
320359.3275,4091999.588,2023.949951171875,0.002788147,2004,bn2,Live,1,5.1,White Fir,Abies concolor
320350.3275,4092001.958,2024.8299560546875,0.009807505,2004,bn2,Live,1,8.5,White Fir,Abies concolor
320320.6475,4091992.508,2020.8299560546875,0.041224052,2004,bn2,Dead,1,16.8,White Fir,Abies concolor
320328.8675,4092008.258,2024.1199951171875,0.023109755,2004,bn2,Live,1,12.6,Sugar Pine,Pinus lambertiana
320298.4475,4092011.888,2021.260009765625,0.003064505,2004,bn2,Live,1,5.3,White Fir,Abies concolor
320411.3975,4091962.528,2004.6099853515625,0.026720037,2004,bn2,Dead,1,14.7,Incense Cedar,Calocedrus decurrens
320426.3175,4091960.228,1998.75,0.003356606,2004,bn2,Live,1,5.5,White Fir,Abies concolor
320445.7575,4091969.668,1993.469970703125,0.282203454,2004,bn2,Live,2,35.3,Sugar Pine,Pinus lambertiana
320447.4875,4091970.958,1993.219970703125,0.020240669,2004,bn2,Dead,1,9.7,California Black Oak,Quercus kelloggii
320446.6175,4091971.398,1993.219970703125,0.300445975,2004,bn2,Live,2,33.9,White Fir,Abies concolor
320413.4675,4091983.728,2006.760009765625,0.007258073,2004,bn2,Dead,1,7.6,Incense Cedar,Calocedrus decurrens
320356.5975,4091962.878,2017.3399658203125,0.550907152,2004,bn2,Dead,3,46.9,White Fir,Abies concolor
320363.5075,4091962.478,2016.27001953125,0.003664733,2004,bn2,Dead,1,5.7,White Fir,Abies concolor
320364.9775,4091958.038,2015.3399658203125,0.011605205,2004,bn2,Live,1,9.1,White Fir,Abies concolor
320372.7575,4091973.898,2017.0400390625,0.240731836,2004,bn2,Live,2,31,White Fir,Abies concolor
320373.8075,4091976.648,2017.3900146484375,0.726202881,2004,bn2,Live,3,48.4,White Fir,Abies concolor
